"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 17, 2020","19,785.0","19,653.0","19,865.0","19,595.0","-","0.66%"
"Apr 16, 2020","19,655.0","19,240.0","19,785.0","18,988.0","-","0.38%"
"Apr 15, 2020","19,580.0","19,540.0","19,640.0","19,420.0","53.80K","-0.15%"
"Apr 14, 2020","19,610.0","19,050.0","19,700.0","18,940.0","59.81K","2.83%"
"Apr 13, 2020","19,070.0","19,310.0","19,350.0","18,980.0","34.40K","-1.24%"
"Apr 10, 2020","19,310.0","19,510.0","19,620.0","19,210.0","68.56K","-0.92%"
"Apr 09, 2020","19,490.0","19,000.0","19,490.0","18,790.0","73.12K","3.01%"
"Apr 08, 2020","18,920.0","19,260.0","19,860.0","18,710.0","113.01K","-1.20%"
"Apr 07, 2020","19,150.0","18,600.0","19,150.0","18,420.0","85.47K","3.12%"
"Apr 06, 2020","18,570.0","17,700.0","18,700.0","17,570.0","93.19K","5.03%"
"Apr 03, 2020","17,680.0","17,870.0","18,130.0","17,520.0","67.86K","-1.01%"
"Apr 02, 2020","17,860.0","17,830.0","18,110.0","17,570.0","94.42K","0.22%"
"Apr 01, 2020","17,820.0","18,880.0","18,920.0","17,820.0","96.68K","-5.81%"
"Mar 31, 2020","18,920.0","18,610.0","19,310.0","18,440.0","86.30K","0.64%"
"Mar 30, 2020","18,800.0","18,980.0","19,080.0","18,530.0","109.74K","-1.47%"
"Mar 27, 2020","19,080.0","18,320.0","19,210.0","18,220.0","133.07K","3.92%"
"Mar 26, 2020","18,360.0","19,260.0","19,420.0","18,250.0","158.18K","-4.57%"
"Mar 25, 2020","19,240.0","18,400.0","19,450.0","18,290.0","151.65K","5.31%"
"Mar 24, 2020","18,270.0","17,000.0","18,270.0","16,890.0","167.59K","7.79%"
"Mar 23, 2020","16,950.0","16,800.0","17,340.0","16,190.0","170.02K","0.18%"
"Mar 20, 2020","16,920.0","17,130.0","17,837.5","16,875.0","-","-1.25%"
"Mar 19, 2020","17,135.0","16,920.0","17,340.0","16,060.0","167.89K","3.79%"
"Mar 18, 2020","16,510.0","16,870.0","17,320.0","16,220.0","193.74K","-0.96%"
"Mar 17, 2020","16,670.0","16,770.0","17,350.0","15,860.0","217.32K","-1.01%"
"Mar 16, 2020","16,840.0","17,190.0","18,230.0","16,650.0","195.13K","0.30%"
"Mar 13, 2020","16,790.0","18,030.0","18,160.0","16,480.0","306.28K","-8.55%"
"Mar 12, 2020","18,360.0","19,370.0","19,660.0","18,330.0","102.14K","-5.21%"
"Mar 11, 2020","19,370.0","19,650.0","20,190.0","19,020.0","245.68K","-2.22%"
"Mar 10, 2020","19,810.0","19,080.0","19,970.0","18,500.0","274.43K","2.06%"
"Mar 09, 2020","19,410.0","20,670.0","20,740.0","19,410.0","220.89K","-6.28%"
"Mar 06, 2020","20,710.0","21,280.0","21,330.0","20,610.0","135.06K","-3.09%"
"Mar 05, 2020","21,370.0","21,170.0","21,440.0","21,030.0","112.24K","1.14%"
"Mar 04, 2020","21,130.0","21,120.0","21,500.0","20,680.0","188.33K","0.71%"
"Mar 03, 2020","20,980.0","21,250.0","21,730.0","20,680.0","216.75K","-0.90%"
"Mar 02, 2020","21,170.0","21,180.0","21,590.0","20,460.0","315.53K","0.43%"
"Feb 28, 2020","21,080.0","22,040.0","22,110.0","20,900.0","266.54K","-3.52%"
"Feb 27, 2020","21,850.0","22,290.0","22,500.0","21,840.0","208.21K","-2.15%"
"Feb 26, 2020","22,330.0","22,640.0","22,660.0","21,890.0","218.12K","-1.50%"
"Feb 25, 2020","22,670.0","23,260.0","23,340.0","22,260.0","137.45K","1.41%"
"Feb 24, 2020","22,355.0","22,805.0","22,848.0","22,067.5","-","-1.96%"
"Feb 23, 2020","22,802.5","22,968.0","22,983.0","22,745.0","-","-2.09%"
"Feb 21, 2020","23,290.0","23,590.0","23,640.0","23,290.0","92.35K","-0.94%"
"Feb 20, 2020","23,510.0","23,390.0","23,800.0","23,340.0","97.64K","0.60%"
"Feb 19, 2020","23,370.0","23,150.0","23,450.0","23,090.0","85.95K","0.73%"
"Feb 18, 2020","23,200.0","23,520.0","23,540.0","23,110.0","61.92K","-1.44%"
"Feb 17, 2020","23,540.0","23,650.0","23,660.0","23,320.0","71.53K","-0.38%"
"Feb 14, 2020","23,630.0","23,750.0","23,780.0","23,560.0","79.41K","-0.67%"
"Feb 13, 2020","23,790.0","23,870.0","23,970.0","23,770.0","65.82K","-0.34%"
"Feb 12, 2020","23,870.0","23,660.0","23,890.0","23,560.0","57.70K","0.13%"
"Feb 11, 2020","23,838.0","23,718.0","24,013.0","23,672.5","-","0.84%"
"Feb 10, 2020","23,640.0","23,840.0","23,860.0","23,600.0","82.67K","-0.80%"
"Feb 07, 2020","23,830.0","23,890.0","23,960.0","23,730.0","77.01K","-0.50%"
"Feb 06, 2020","23,950.0","23,330.0","23,980.0","23,320.0","122.22K","2.53%"
"Feb 05, 2020","23,360.0","23,080.0","23,400.0","23,040.0","80.86K","1.17%"
"Feb 04, 2020","23,090.0","22,930.0","23,090.0","22,780.0","89.34K","0.87%"
"Feb 03, 2020","22,890.0","23,130.0","23,150.0","22,650.0","129.86K","-1.04%"
"Jan 31, 2020","23,130.0","22,880.0","23,400.0","22,820.0","129.24K","0.70%"
"Jan 30, 2020","22,970.0","23,310.0","23,400.0","22,860.0","93.52K","-1.67%"
"Jan 29, 2020","23,360.0","23,210.0","23,380.0","23,000.0","81.28K","0.86%"
"Jan 28, 2020","23,160.0","23,320.0","23,380.0","23,050.0","103.99K","-0.64%"
"Jan 27, 2020","23,310.0","23,780.0","23,900.0","23,280.0","84.29K","-2.06%"
"Jan 24, 2020","23,800.0","23,790.0","23,840.0","23,600.0","50.32K","0.21%"
