date,open,high,low,close,volume
2019-11-08,53200,53300,52000,52100,11603290
2019-11-07,53400,53400,52400,52900,9257116
2019-11-06,52900,53500,52700,53300,14361133
2019-11-05,52400,52700,52100,52700,10581034
2019-11-04,51700,52300,51400,52300,13012411
2019-11-01,50600,51200,50400,51200,8467846
2019-10-31,51000,51400,50300,50400,10304777
2019-10-30,50700,50800,50200,50400,8959435
2019-10-29,51400,51700,50800,51100,7581629
2019-10-28,50700,51500,50700,51300,6431522
2019-10-25,50800,51200,50500,50900,7879897
2019-10-24,52500,52500,50500,50700,21185785
2019-10-23,51300,51500,50800,51200,8663880
2019-10-22,50800,51500,50700,51200,10898729
2019-10-21,49900,50400,49800,50300,4406531
2019-10-18,50300,50900,49650,49900,8483106
2019-10-17,50500,50600,50100,50500,6701380
2019-10-16,50700,50900,50400,50700,9136282
2019-10-15,49900,50200,49900,50100,6058105
2019-10-14,50000,50300,49850,50000,11130635
2019-10-11,49000,49450,48800,49150,7783275
2019-10-10,48200,49200,48000,48550,18639855
2019-10-08,47900,49000,47600,48900,14239367
2019-10-07,48350,48700,47650,47750,7047273
2019-10-04,47400,48650,47350,48000,9331695
2019-10-02,48350,48400,47600,47600,8382463
2019-10-01,48900,49100,48650,48850,6206035
2019-09-30,48050,49250,47900,49050,9497119
2019-09-27,48000,48700,48000,48400,8048041
2019-09-26,49000,49250,48900,49200,8494756
2019-09-25,49200,49350,48800,48900,9187141
2019-09-24,49050,49650,48850,49500,7871955
2019-09-23,49250,49300,49000,49300,7568553
2019-09-20,49400,49600,49100,49200,15460210
2019-09-19,48050,49200,47850,49150,16461413
2019-09-18,46900,47700,46800,47700,10413027
2019-09-17,47000,47100,46800,46900,7006280
2019-09-16,47000,47100,46400,47100,15550926
2019-09-11,47300,47400,46800,47150,16141619
2019-09-10,47100,47200,46550,47000,9231792
2019-09-09,46450,47000,46300,46900,9434157
2019-09-06,46500,46500,45850,46300,9896562
2019-09-05,44800,46100,44450,45700,18297430
2019-09-04,43250,44100,43150,44100,12441837
2019-09-03,43550,43650,43100,43250,9774941
2019-09-02,44850,44850,43650,43800,7185537
2019-08-30,43750,44300,43750,44000,9899073
2019-08-29,44200,44200,43050,43400,10768862
2019-08-28,44100,44400,43750,44150,5758333
2019-08-27,43650,44200,43600,44050,16883932
2019-08-26,43050,43800,42950,43600,7954949
2019-08-23,43800,44200,43650,43950,5017381
